idcliente,plan_internacional_preferente,plan_internet_ilimitado,mb_navegados,total_minutos_horario_normal,total_llamadas_horario_normal,cobro_llamadas_horario_normal,total_minutos_horario_reducido,total_llamadas_horario_reducido,cobro_llamadas_horario_reducido,total_minutos_horario_nocturno,total_llamadas_horario_nocturno,cobro_llamadas_horario_nocturno,total_minutos_llamadas_internacionales,total_llamadas_internacionales,cobro_llamadas_internacionales,llamadas_a_servicio_de_atencion_al_cliente,fuga
73,No,No,0,248.6,83,23285,148.9,85,6976,172.5,109,4276,8,4,1190,3,Vigente
74,No,No,0,203.4,146,19054,226.7,117,10618,152.4,105,3780,7.3,4,1085,1,Vigente
75,No,No,0,235.8,109,22090,157.2,94,7361,188.2,99,4667,12,3,1785,0,Vigente
76,No,No,0,157.1,90,14717,223.3,72,10458,181.4,111,4496,6.1,2,909,1,Vigente
77,No,No,0,300.3,109,28129,181,100,8480,270.1,73,6695,11.7,4,1741,0,Fugado
78,No,No,0,61.6,117,5769,77.1,85,3609,173,99,4292,8.2,7,1218,4,Fugado
79,No,No,0,214.1,72,20056,164.4,104,7697,177.5,113,4402,8.2,3,1218,2,Vigente
80,No,No,0,170.2,98,15940,155.2,102,7268,228.6,76,5670,15,2,2232,1,Vigente
81,No,No,0,201.1,99,18839,303.5,74,14216,224,119,5554,13.2,2,1962,1,Vigente
82,Si,No,0,215.4,104,20178,204.8,79,9593,278.5,109,6904,12.6,5,1562,3,Vigente
83,No,Si,2500,165.6,123,15511,136.1,95,6375,175.7,90,4358,11,2,1636,3,Vigente
84,No,Si,2400,249.5,101,23373,259.7,98,12161,222.7,68,5521,9.8,4,1460,1,Vigente
85,No,No,0,210.6,96,19726,249.2,85,11670,191.4,88,4744,12.4,1,1846,2,Fugado
86,No,Si,2900,179.3,104,16794,225.9,86,10579,323,78,8012,8.6,7,1278,0,Vigente
87,No,No,0,157.9,105,14789,155,101,7262,189.6,84,4700,8,5,1190,4,Fugado
88,No,No,0,214.3,118,20073,208.5,76,9764,182.4,98,4524,12,2,1785,1,Vigente
89,No,Si,3500,154.1,104,14436,123.4,84,5780,202.1,57,5009,10.9,9,1620,2,Vigente
90,No,No,0,237.9,125,22282,247.6,93,11599,208.9,68,5179,13.9,4,2066,1,Fugado
91,No,No,0,143.9,61,13477,194.9,105,9130,109.6,94,2716,11.1,2,1653,1,Vigente
92,No,No,0,203.4,100,19054,190.9,104,8943,196,119,4860,8.9,4,1322,0,Fugado
93,No,No,0,124.3,100,11643,173,107,8105,253.2,62,6276,7.9,9,1174,1,Vigente
94,No,No,0,252.9,93,23687,178.4,112,8353,263.9,105,6546,9.5,7,1416,3,Vigente
95,No,No,0,179.1,71,16778,190.6,81,8926,127.7,91,3168,10.6,7,1576,3,Vigente
96,No,No,0,278.4,106,26079,81,113,3796,163.2,137,4044,9.8,5,1460,1,Vigente
97,No,No,0,160.1,110,14998,213.3,72,9990,174.1,72,4314,13,4,1934,0,Vigente
98,No,No,0,198.2,87,18563,207.3,76,9709,190.9,113,4733,8.7,3,1295,4,Vigente
99,No,No,0,212.1,131,19869,209.4,104,9808,167.2,96,4144,5.3,5,788,1,Fugado
100,No,No,0,251.8,72,23588,205.7,126,9631,275.2,109,6821,9.8,7,1460,2,Fugado
101,No,Si,2100,161.2,114,15097,252.2,83,11813,160.2,92,3973,4.4,8,656,4,Vigente
102,No,No,0,178.3,137,16701,189,76,8855,129.1,102,3201,14.6,5,2171,0,Vigente
103,No,No,0,151.7,82,14210,119,105,5576,180,100,4463,10.5,6,1565,0,Vigente
104,No,No,0,135,99,12645,183.6,106,8601,245.3,102,6083,12.5,9,1862,1,Vigente
105,No,No,0,170.5,94,15973,173.7,109,8133,248.6,75,6166,11.3,2,1681,1,Vigente
106,No,No,0,238.1,65,22304,187.2,98,8766,190,115,4711,11.8,4,1758,4,Vigente
107,No,Si,2900,281.4,102,26360,202.2,76,9472,187.2,113,4639,9,6,1339,2,Vigente
108,No,Si,2100,117.9,131,11042,164.5,115,7703,217,86,5378,9.8,3,1460,1,Vigente
109,No,Si,3200,148.6,91,13918,131.1,97,6138,219.4,142,5438,10.1,1,1504,1,Vigente
110,No,No,0,229.8,90,21528,147.9,121,6926,241.4,108,5984,9.6,7,1427,3,Vigente
111,No,No,0,165,100,15456,317.2,83,14855,119.2,86,2953,8.3,8,1234,1,Vigente
112,No,No,0,185,117,17329,223.3,94,10458,222.8,91,5527,12.6,2,1873,2,Vigente
113,No,No,0,161,117,15081,190.9,113,8943,227.7,113,5648,12.1,4,1802,4,Vigente
114,No,No,0,126.7,108,11869,206,90,9648,247.8,114,6144,13.3,7,1978,1,Vigente
115,No,No,0,58.9,125,5516,169.6,59,7945,211.4,88,5240,9.4,3,1400,1,Vigente
116,Si,Si,4200,196.8,89,18436,254.9,122,11940,138.3,126,3427,20,6,2480,0,Fugado
117,No,No,0,162.6,83,15230,152.3,109,7135,57.5,122,1427,14.2,3,2110,1,Vigente
118,No,No,0,282.5,114,26465,219.9,48,10298,170,115,4215,9.4,4,1400,1,Fugado
119,No,Si,3600,113.7,117,10651,157.5,82,7378,177.6,118,4402,10,3,1488,2,Vigente
120,No,No,0,239.8,125,22464,214.8,111,10061,143.3,81,3554,8.7,5,1295,2,Vigente
121,No,No,0,210.2,92,19687,227.3,77,10645,200.1,116,4959,13.1,7,1951,1,Vigente
122,No,Si,2200,213.8,102,20029,141.8,86,6640,142.2,123,3526,7.2,3,1069,0,Vigente
123,No,No,0,190.7,103,17863,183.5,117,8596,220.8,103,5477,9.8,4,1460,3,Vigente
124,No,No,0,170.9,124,16007,132.3,95,6199,112.9,89,2799,11.6,3,1725,1,Vigente
125,No,No,0,154.2,119,14442,110.2,98,5163,227.4,117,5637,9.2,5,1366,2,Vigente
126,No,No,0,201.4,52,18866,229.4,104,10745,252.5,106,6259,12,3,1785,1,Vigente
127,No,No,0,70.7,108,6623,157.5,87,7378,154.8,82,3840,9.1,3,1355,4,Fugado
128,No,Si,2700,187.5,124,17566,146.6,103,6865,225.7,129,5598,6.4,6,953,4,Fugado
129,No,No,0,91.7,90,8590,193.7,123,9069,175,86,4342,9.2,4,1366,2,Vigente
130,No,Si,3600,214.2,115,20062,161.7,117,7571,264.7,102,6562,9.5,4,1416,3,Vigente
131,No,No,0,145.5,92,13632,217.7,114,10194,146.9,123,3642,10.9,2,1620,3,Vigente
132,No,No,0,166.3,125,15577,158.2,86,7411,256.7,80,6364,6.1,5,909,1,Vigente
133,No,No,0,231,115,21638,230.4,140,10789,261.4,120,6480,9.5,3,1416,1,Vigente
134,No,No,0,200.3,96,18762,201.2,102,9422,206.1,60,5108,7.1,1,1058,4,Vigente
135,No,No,0,197,109,18453,202.6,128,9488,206.4,80,5119,9.1,10,1355,1,Vigente
136,Si,No,0,129.9,112,12166,173.3,83,8116,247.2,130,6127,11.2,3,1389,3,Vigente
137,No,Si,2100,175.8,97,16469,217.5,106,10188,237.5,134,5890,5.3,4,788,5,Vigente
138,No,No,0,203.1,106,19026,210.1,113,9841,195.6,129,4849,12,3,1785,3,Vigente
139,No,Si,3600,183.2,117,17158,126.8,76,5940,263.3,71,6529,11.2,8,1664,1,Vigente
140,No,Si,2300,205,101,19202,152,60,7119,158.6,59,3934,10.2,5,1515,2,Vigente
141,No,No,0,148.5,115,13913,276.4,84,12943,193.6,112,4799,12.4,3,1846,1,Vigente
142,No,Si,3900,200.3,68,18762,220.4,97,10320,253.8,116,6292,10.5,4,1565,0,Vigente
143,No,Si,2800,192.6,107,18040,195.5,74,9158,109.7,139,2722,6.8,5,1014,3,Vigente
144,No,No,0,246.5,47,23092,195.5,84,9158,200.5,96,4970,11.7,4,1741,1,Vigente
145,Si,No,0,167.1,86,15654,177.5,87,8315,249.4,132,6182,14.1,7,1748,2,Fugado
146,No,No,0,231.9,101,21720,160.1,94,7499,110.4,98,2738,14.3,6,2127,3,Vigente
147,No,No,0,146.7,91,13742,203.5,78,9532,203.4,110,5042,13.7,3,2039,1,Vigente
148,Si,No,0,271.5,87,25434,216.3,126,10133,121.1,105,3003,11.7,4,1451,1,Vigente
149,No,No,0,181.5,121,17004,218.4,98,10227,161.6,103,4006,8.5,5,1267,1,Vigente
150,No,Si,4300,257.7,97,24139,162.1,95,7593,286.9,86,7113,11.1,4,1653,2,Vigente
151,No,No,0,193.8,99,18155,221.4,125,10370,172.3,67,4270,10.6,6,1576,1,Vigente
152,No,No,0,102.8,119,9631,206.7,91,9681,299,105,7416,10.1,7,1504,1,Vigente
153,No,No,0,187.9,116,17599,157.6,117,7383,227.3,86,5637,7.5,6,1119,1,Vigente
154,No,No,0,226,112,21169,248.5,118,11637,140.5,142,3482,6.9,11,1025,1,Vigente
155,No,No,0,260.4,115,24393,146,46,6838,269.5,87,6684,11.5,4,1714,5,Vigente
156,No,No,0,178.7,116,16739,292.1,138,13681,265.9,101,6595,9.8,4,1460,0,Vigente
157,No,No,0,337.4,120,31605,227.4,116,10651,153.9,114,3818,15.8,7,2353,0,Fugado
158,No,Si,2300,157.6,129,14761,247,96,11571,259.2,112,6425,13.7,2,2039,0,Vigente
159,No,No,0,183.6,117,17197,256.7,72,12023,178.6,79,4430,10.2,2,1515,1,Vigente
160,No,Si,2400,142.1,124,13312,183.4,129,8590,164.8,114,4088,9.6,4,1427,1,Vigente
161,No,No,0,136.3,97,12767,172.2,108,8067,137.5,101,3411,7.1,5,1058,0,Vigente
162,No,No,0,217.1,110,20337,241.5,111,11312,253.5,103,6287,12,6,1785,0,Vigente
163,No,Si,3600,187.5,99,17566,241.4,116,11307,229.5,105,5692,10.5,5,1565,3,Vigente
164,No,No,0,98.9,103,9262,135.4,122,6342,236.6,82,5868,12.2,1,1813,1,Vigente
165,No,No,0,206.3,151,19324,148.6,89,6959,167.2,91,4144,6.1,3,909,1,Vigente
166,No,Si,3300,243.1,92,22773,213.8,92,10012,228.7,104,5670,12.1,2,1802,2,Vigente
167,No,Si,3100,189.8,126,17781,163.3,133,7648,264.8,126,6568,7.5,3,1119,1,Vigente
168,No,No,0,202,102,18921,243.2,128,11389,261.3,90,6480,10.9,3,1620,1,Vigente
169,No,Si,3800,170.1,124,15935,193.3,116,9053,105.9,73,2628,12.8,4,1906,1,Vigente
170,No,No,0,230.9,87,21627,187.4,90,8777,154,53,3818,6.3,2,937,0,Vigente
171,No,No,0,237.1,105,22211,223.5,105,10469,97.4,79,2413,13.2,2,1962,1,Vigente
172,No,Si,2700,182.1,91,17059,169.7,98,7945,164.7,86,4083,10.6,5,1576,2,Vigente
173,No,No,0,119.3,87,11174,211.5,101,9907,268.9,86,6667,10.5,4,1565,3,Vigente
174,No,No,0,116.8,87,10943,178.9,93,8381,182.4,150,4524,14.1,2,2099,1,Vigente
175,No,No,0,219.2,92,20530,149.4,125,6998,244.7,104,6067,6.1,5,909,0,Vigente
176,No,No,0,252.6,104,23660,169,125,7918,170.9,106,4237,11.1,7,1653,2,Vigente
177,No,No,0,147.1,91,13781,190.4,107,8915,195.2,115,4838,12.2,3,1813,0,Vigente
178,No,No,0,202.1,103,18932,229.4,86,10745,195.2,113,4838,11.5,3,1714,2,Vigente
179,No,No,0,173.5,93,16255,194.1,76,9092,208,112,5157,16.2,10,2408,3,Vigente
180,No,No,0,232.1,122,21742,292.3,112,13692,201.2,112,4987,0,0,0,3,Vigente
181,Si,Si,2300,197.1,125,18464,214.5,136,10045,282.2,103,6998,9.5,5,1178,4,Vigente
182,No,No,0,58.2,94,5449,138.7,118,6496,136.8,91,3394,11.9,1,1769,5,Fugado
183,No,Si,3600,115.6,111,10827,237.7,94,11130,169.9,103,4215,9.9,12,1471,2,Vigente
184,No,No,0,186.1,98,17434,254.3,57,11913,214,127,5306,14.6,7,2171,2,Vigente
185,Si,No,0,259.9,68,24343,245,122,11477,134.4,121,3334,8.4,3,1042,3,Vigente
186,No,No,0,214.3,145,20073,268.5,135,12574,241.2,92,5978,10.8,13,1609,1,Vigente
187,No,No,0,158.7,74,14866,64.3,139,3014,198.5,103,4920,10.2,4,1515,1,Vigente
188,No,No,0,271.6,71,25440,229.4,108,10745,77.3,121,1917,10.9,3,1620,2,Vigente
189,No,No,0,160.6,111,15042,163.2,126,7642,187.1,112,4639,9,3,1339,1,Vigente
190,No,No,0,232.4,109,21770,187.4,95,8777,231.2,107,5730,9.1,3,1355,1,Vigente
191,No,No,0,133.8,85,12535,180.5,94,8452,112.2,115,2783,8.9,4,1322,0,Vigente
192,No,No,0,176.9,109,16569,90.7,104,4248,238,69,5901,9.5,2,1416,1,Vigente
193,No,No,0,209.9,74,19660,195.1,77,9136,208.2,119,5163,8.8,4,1311,2,Vigente
194,No,No,0,137.5,118,12882,203.2,88,9516,150,131,3719,13.4,2,1995,0,Vigente
195,No,Si,2300,289.5,52,27120,166.6,111,7802,119.1,88,2953,9.5,4,1416,1,Vigente
196,No,Si,2300,198.1,86,18558,177,86,8293,180.5,92,4474,6.8,6,1014,1,Vigente
197,No,No,0,149.7,119,14023,182.2,115,8535,261.5,126,6485,9.7,8,1444,0,Vigente
198,No,No,0,326.5,67,30586,176.3,113,8259,181.7,102,4507,10.7,6,1592,2,Fugado
199,Si,Si,2600,292.9,101,27434,199.7,97,9350,255.3,127,6331,13.8,7,1711,4,Fugado
200,No,No,0,83,64,7775,177,106,8293,245.7,89,6094,13,3,1934,0,Vigente
201,No,Si,2400,145.7,146,13648,220.5,136,10326,249.9,96,6199,13.1,5,1951,3,Vigente
202,No,No,0,182.3,101,17075,328.2,93,15373,245,131,6078,11.2,1,1664,2,Vigente
203,No,No,0,218,86,20420,184,94,8618,240.5,110,5962,6.4,8,953,3,Vigente
204,No,No,0,140.6,109,13169,178.6,51,8364,217,83,5378,6.8,3,1014,2,Vigente
205,No,No,0,152.7,105,14304,257.5,80,12061,198.1,93,4909,9.4,4,1400,1,Vigente
206,No,Si,3600,106.7,76,9995,209.8,77,9824,190.4,117,4722,12.1,2,1802,1,Vigente
207,No,No,0,243.8,98,22839,83.9,72,3929,179.8,84,4458,13.7,8,2039,2,Vigente
208,No,No,0,194.4,94,18211,186.7,95,8744,223.3,90,5538,10.8,5,1609,3,Vigente
209,No,No,0,213.9,95,20034,151.9,70,7113,260.1,124,6447,12.2,5,1813,3,Vigente
210,No,No,0,217.2,112,20343,246.7,89,11554,226.1,89,5604,15.8,7,2353,3,Vigente
211,No,No,0,241.1,72,22585,155.6,98,7290,188.2,109,4667,11.6,10,1725,1,Vigente
212,Si,No,0,203.5,100,19065,247.6,103,11599,194.3,94,4816,11.9,11,1476,0,Vigente
213,No,Si,2400,155.2,131,14535,244.5,106,11450,122.4,68,3036,10.7,3,1592,1,Vigente
214,No,Si,3100,167.6,139,15698,113,118,5295,246.9,121,6122,12.2,6,1813,1,Vigente
215,Si,No,0,226.7,98,21236,228.1,115,10684,73.2,93,1813,17.6,4,2182,2,Fugado
216,No,No,0,179.3,93,16794,178.6,98,8364,225.2,131,5582,11.5,6,1714,3,Vigente
217,No,No,0,151.4,89,14183,186.4,76,8728,172.5,120,4276,10.9,3,1620,0,Vigente
218,No,No,0,180,80,16861,224.2,82,10502,265.4,91,6579,4.7,7,700,3,Vigente
219,No,No,0,250.2,121,23434,267.1,118,12508,151,114,3747,13,2,1934,1,Fugado
220,No,No,0,223,121,20888,110.1,98,5157,188.7,107,4678,7.1,12,1058,0,Vigente
221,No,No,0,183.6,116,17197,152.6,98,7146,212.2,99,5262,12.2,6,1813,3,Vigente
222,No,Si,2200,166,114,15549,174.5,103,8171,244.9,68,6072,10.2,6,1515,1,Vigente
223,No,No,0,136.1,112,12750,272.9,96,12783,220.2,104,5460,4.4,2,656,1,Vigente
224,No,No,0,149.3,113,13984,242.2,122,11345,174.3,104,4320,8.9,6,1322,2,Vigente
225,No,No,0,65.4,97,6127,168.2,76,7879,236,113,5852,13.8,1,2055,2,Vigente
226,No,No,0,213.4,111,19990,234.5,94,10981,250.1,123,6199,2.7,4,402,1,Vigente
227,No,No,0,206.9,85,19379,244.7,78,11461,221.5,136,5493,7.7,2,1146,3,Vigente
228,No,Si,2700,186.2,78,17439,189.6,83,8882,76.5,139,1895,9.6,3,1427,2,Vigente
229,No,Si,2300,280.2,136,26244,220.5,92,10326,136.9,102,3394,13.3,3,1978,4,Vigente
230,No,Si,2200,196.6,84,18414,313.2,92,14668,163.3,108,4050,11.9,3,1769,0,Vigente
231,Si,No,0,312,109,29225,129.4,100,6061,217.6,74,5394,10.5,2,1302,0,Fugado
232,Si,Si,3600,199,110,18640,291.3,111,13643,197.6,92,4898,11,6,1364,1,Vigente
233,No,No,0,203.1,96,19026,217,126,10166,180.9,122,4485,13.5,2,2011,3,Vigente
234,No,No,0,168.8,97,15814,220.3,87,10320,154.3,113,3824,10.9,2,1620,0,Vigente
235,Si,No,0,173.1,140,16216,240.3,105,11257,233.2,117,5780,9,5,1116,1,Vigente
236,No,No,0,134.4,106,12590,211.3,98,9896,193.6,125,4799,10.2,2,1515,5,Fugado
237,No,Si,4000,202.6,103,18976,118.8,128,5565,234.9,98,5824,9,9,1339,2,Vigente
238,No,No,0,74.5,117,6981,200.8,98,9406,192.2,101,4766,9.8,7,1460,3,Vigente
239,No,No,0,83.6,148,7830,120.9,91,5664,226.6,110,5620,10.7,9,1592,0,Vigente
240,No,No,0,192.2,86,18001,168.6,116,7896,139.8,87,3466,9.4,6,1400,1,Vigente
241,No,No,0,220.2,89,20624,88.3,125,4138,195.3,79,4843,12.9,5,1917,0,Vigente
242,Si,No,0,135.1,95,12656,134.1,102,6281,223.1,81,5532,12.3,2,1525,2,Fugado
243,No,No,0,253.4,77,23737,182.4,151,8541,275.8,103,6838,8.4,2,1251,1,Vigente
244,No,No,0,225,81,21076,176.9,63,8287,194.3,110,4816,7.1,2,1058,3,Vigente
245,No,No,0,198.5,99,18596,267.8,60,12541,354.9,75,8799,9.4,3,1400,0,Fugado
246,No,No,0,110.3,107,10331,166.5,93,7797,202.3,96,5014,9.5,5,1416,0,Vigente
247,No,Si,3700,60,102,5620,102.2,80,4788,261.8,106,6491,11.1,3,1653,0,Vigente
248,No,No,0,214.8,94,20123,149.7,58,7009,283.4,66,7025,10.2,5,1515,0,Vigente
249,No,No,0,181.8,85,17031,202.4,98,9477,245.9,97,6100,9.2,2,1366,4,Vigente
250,No,Si,2300,154,114,14425,278,137,13020,228.4,112,5664,11.8,4,1758,2,Vigente
251,No,Si,2900,157.4,99,14745,117.9,80,5521,279.2,79,6921,13.9,11,2066,4,Fugado
252,No,No,0,207.9,91,19472,172,109,8056,191.8,143,4755,14.4,7,2143,4,Vigente
253,No,No,0,207,90,19390,232.9,83,10910,172.4,108,4276,9.1,8,1355,3,Vigente
254,No,Si,4100,119,101,11147,230,134,10772,236.9,58,5874,9.5,3,1416,0,Vigente
255,Si,No,0,143.7,117,13461,273,82,12789,178.3,81,4419,10.9,3,1352,0,Vigente
256,No,Si,3200,165.9,126,15538,216.5,93,10138,173.1,86,4292,14.1,8,2099,4,Vigente
257,No,No,0,138.6,122,12982,172.3,117,8072,231.6,92,5741,9.8,3,1460,1,Vigente
258,No,No,0,84.7,118,7934,249.9,86,11703,193.4,95,4794,14.5,8,2160,1,Vigente
259,Si,No,0,62.6,111,5863,180.6,126,8458,221.7,80,5499,10.4,2,1290,1,Fugado
260,No,No,0,155.2,79,14535,235.3,123,11020,169.4,80,4199,8.7,4,1295,1,Vigente
261,No,Si,2500,164.9,110,15445,209.3,105,9802,231.2,55,5730,6.7,9,997,1,Vigente
262,No,No,0,134.5,88,12601,143.1,112,6700,223.9,61,5554,15.4,1,2292,1,Vigente
263,No,No,0,143.3,103,13422,211.3,108,9896,185.2,96,4590,11.5,3,1714,1,Vigente
264,No,No,0,168.3,110,15764,221.2,73,10359,241,136,5978,12.5,1,1862,1,Vigente
265,No,No,0,262.4,55,24580,194.6,113,9114,146.5,85,3631,8.3,6,1234,2,Vigente
266,No,Si,3000,206.2,79,19313,260,91,12177,291.6,83,7229,11.4,6,1697,1,Vigente
267,No,Si,2800,225.8,94,21153,193,117,9042,232.4,100,5763,8.4,9,1251,4,Vigente
